CACONDE,3508702,SAO JOSE DA BARRA - MG (AER. FUR,SBFU,-,100.39
CAFELÂNDIA,3508801,LINS,SBLN,83674,21.83
CAFELÂNDIA,3508801,MARILHA - SP,SBML,-,62.94
CAFELÂNDIA,3508801,BAURU (AEROPORTO),SBBU,83722,82.06
CAIABU,3508900,PRESIDENTE PRUDENTE,SBDN,83716,33.28
CAIABU,3508900,ASSIS - S,SBAS,-,110.04
CAIABU,3508900,ARACATUBA,SBAU,83672,122.68
CAIEIRAS,3509007,POCOS DE CALDAS (AEROPORTO),SBPC,83644,75.01
CAIEIRAS,3509007,SAO JOSE DOS CAMPOS (AEROPORTO),SBSJ,83829,94.24
CAIEIRAS,3509007,CAMPINAS (AEROPORTO),SBKP,83721,98.71
CAIUÁ,3509106,PRESIDENTE PRUDENTE,SBDN,83716,71.22
CAIUÁ,3509106,URUBUPUNGA,SBUP,83617,119.6
CAIUÁ,3509106,ARACATUBA,SBAU,83672,177.74
CAJAMAR,3509205,SAO ROQUE,SBRQ,83058,28.3
CAJAMAR,3509205,SAO PAULO,SBXP,83781,29.05
CAJAMAR,3509205,SAO PAULO (CAMPO DE MARTE),SBMT,83779,30.03
CAJATI,3509254,PARANAGUA,SBPG,83844,89.43
CAJATI,3509254,CURITIBA,SBBI,83842,125.5
CAJATI,3509254,CURITIBA (AEROPORTO),SBCT,83840,128.69
CAJOBI,3509304,BARRETOS,SBBT,83625,41.39
CAJOBI,3509304,SAO JOSE DO RIO PRET,SBSR,-,59.02
CAJOBI,3509304,FRONTERA-MG,SBFT,-,75.43
CAJURU,3509403,RIBEIRAO PRETO,SBRP,83668,50.6
CAJURU,3509403,PIRASSUNUNGA,SBYS,83671,77.29
CAJURU,3509403,FRANCA,SBFC,83630,78.26
CAMPINA DO MONTE ALEGRE,3509452,SAO ROQUE,SBRQ,83058,135.94
CAMPINA DO MONTE ALEGRE,3509452,CAMPINAS (AEROPORTO),SBKP,83721,151.34
CAMPINA DO MONTE ALEGRE,3509452,BAURU (AEROPORTO),SBBU,83722,155.66
CAMPINAS,3509502,CAMPINAS (AEROPORTO),SBKP,83721,14.75
CAMPINAS,3509502,SAO ROQUE,SBRQ,83058,70.77
CAMPINAS,3509502,SAO PAULO,SBXP,83781,80.73
CAMPO LIMPO PAULISTA,3509601,CAMPINAS (AEROPORTO),SBKP,83721,15.48
CAMPO LIMPO PAULISTA,3509601,SAO ROQUE,SBRQ,83058,57.52
CAMPO LIMPO PAULISTA,3509601,SAO PAULO,SBXP,83781,64.16
CAMPOS DO JORDÃO,3509700,PINDAMONHANGABA,SBPW,83706,30.25
CAMPOS DO JORDÃO,3509700,GUARATINGUETA (AEROPORTO),SBGW,83708,34.95
CAMPOS DO JORDÃO,3509700,TAUBATE-SP (BASE AVIACAO TAUBATE,SBTA,-,36.59
CAMPOS NOVOS PAULISTA,3509809,ASSIS - S,SBAS,-,45.12
CAMPOS NOVOS PAULISTA,3509809,MARILHA - SP,SBML,-,48.81
CAMPOS NOVOS PAULISTA,3509809,BAURU (AEROPORTO),SBBU,83722,101.95
CANANÉIA,3509908,PARANAGUA,SBPG,83844,75.9
CANANÉIA,3509908,CURITIBA (AEROPORTO),SBCT,83840,129.49
CANANÉIA,3509908,CURITIBA,SBBI,83842,130.08
CANAS,3509957,GUARATINGUETA (AEROPORTO),SBGW,83708,16.04
CANAS,3509957,PINDAMONHANGABA,SBPW,83706,51.38
CANAS,3509957,TAUBATE-SP (BASE AVIACAO TAUBATE,SBTA,-,56.72
CÂNDIDO MOTA,3510005,ASSIS - S,SBAS,-,20.13
CÂNDIDO MOTA,3510005,MARILHA - SP,SBML,-,86.8
CÂNDIDO MOTA,3510005,LONDRINA (AEROPORTO),SBLO,83768,91.39
CÂNDIDO RODRIGUES,3510104,GAVIAO PEIXOTO,SBGP,-,53.03
CÂNDIDO RODRIGUES,3510104,ARARAQUARA-S,SBAQ,-,72.43
CÂNDIDO RODRIGUES,3510104,BARRETOS,SBBT,83625,84.96
CANITAR,3510153,ASSIS - S,SBAS,-,79.96
CANITAR,3510153,MARILHA - SP,SBML,-,94.18
CANITAR,3510153,BAURU (AEROPORTO),SBBU,83722,107.49
CAPÃO BONITO,3510203,SAO ROQUE,SBRQ,83058,132.38
CAPÃO BONITO,3510203,CAMPINAS (AEROPORTO),SBKP,83721,166.17
CAPÃO BONITO,3510203,PARANAGUA,SBPG,83844,166.19
CAPELA DO ALTO,3510302,SAO ROQUE,SBRQ,83058,62.64
CAPELA DO ALTO,3510302,CAMPINAS (AEROPORTO),SBKP,83721,81.07
CAPELA DO ALTO,3510302,SAO PAULO,SBXP,83781,113.4
CAPIVARI,3510401,CAMPINAS (AEROPORTO),SBKP,83721,36.1
CAPIVARI,3510401,SAO ROQUE,SBRQ,83058,44.34
CAPIVARI,3510401,SAO PAULO,SBXP,83781,85.12
CARAGUATATUBA,3510500,SAO JOSE DOS CAMPOS (AEROPORTO),SBSJ,83829,62.08
CARAGUATATUBA,3510500,TAUBATE-SP (BASE AVIACAO TAUBATE,SBTA,-,71.73
CARAGUATATUBA,3510500,PINDAMONHANGABA,SBPW,83706,78.47
CARAPICUÍBA,3510609,SAO PAULO (CAMPO DE MARTE),SBMT,83779,15.18
CARAPICUÍBA,3510609,SAO PAULO,SBXP,83781,15.58
CARAPICUÍBA,3510609,SAO PAULO (AEROPORTO CONGONHAS),SBSP,83780,16.95
CARDOSO,3510708,FRONTERA-MG,SBFT,-,83.57
CARDOSO,3510708,SAO JOSE DO RIO PRET,SBSR,-,99.52
CARDOSO,3510708,ARACATUBA,SBAU,83672,128.43
CASA BRANCA,3510807,PIRASSUNUNGA,SBYS,83671,30.55
CASA BRANCA,3510807,POCOS DE CALDAS (AEROPORTO),SBPC,83644,53.7
